cbsa_code,cbsa,population_2019,population_2020,population_2021
10180,"Abilene, TX ",175187,176809,177314
10420,"Akron, OH ",703361,701305,700015
10500,"Albany, GA ",149530,148417,147773
10540,"Albany-Lebanon, OR ",127700,128936,129839
10580,"Albany-Schenectady-Troy, NY ",898791,898561,899286
10740,"Albuquerque, NM  *",913231,917179,918259
10780,"Alexandria, LA ",153019,151736,150890
10900,"Allentown-Bethlehem-Easton, PA-NJ ",858656,861705,865310
11020,"Altoona, PA ",123376,122518,121767
11100,"Amarillo, TX ",267174,268820,269703
11180,"Ames, IA ",124556,125306,126195
11260,"Anchorage, AK ",398135,398097,398807
11460,"Ann Arbor, MI ",373011,371656,369390
11500,"Anniston-Oxford, AL ",116669,116266,115972
11540,"Appleton, WI ",242015,243308,244084
11700,"Asheville, NC ",466006,469454,472341
12020,"Athens-Clarke County, GA ",214486,215638,217759
12060,"Atlanta-Sandy Springs-Alpharetta, GA ",6039848,6101146,6144050
12100,"Atlantic City-Hammonton, NJ ",274085,274191,274966
12220,"Auburn-Opelika, AL ",172030,174601,177218
12260,"Augusta-Richmond County, GA-SC ",607877,611720,615933
12420,"Austin-Round Rock-Georgetown, TX ",2231398,2299125,2352426
12540,"Bakersfield, CA ",906453,909997,917673
12580,"Baltimore-Columbia-Towson, MD ",2842883,2841691,2838327
12620,"Bangor, ME ",152234,152007,152765
12700,"Barnstable Town, MA ",227312,228969,232411
12940,"Baton Rouge, LA ",868080,870178,871905
12980,"Battle Creek, MI ",134314,134113,133819
13020,"Bay City, MI ",104079,103594,102985
13140,"Beaumont-Port Arthur, TX ",397323,396958,395419
13220,"Beckley, WV ",115943,114707,113698
13380,"Bellingham, WA ",225421,227304,228831
13460,"Bend, OR ",195275,199355,204801
13740,"Billings, MT ",182465,184567,187037
13780,"Binghamton, NY ",247533,246554,245220
13820,"Birmingham-Hoover, AL ",1112118,1114710,1114262
13900,"Bismarck, ND ",132775,133666,134417
13980,"Blacksburg-Christiansburg, VA  *",166737,166111,165293
14010,"Bloomington, IL ",170976,170870,170889
14020,"Bloomington, IN ",161687,160815,161321
14100,"Bloomsburg-Berwick, PA ",83150,82782,82959
14260,"Boise City, ID ",749581,769581,795268
14460,"Boston-Cambridge-Newton, MA-NH ",4932771,4936511,4899932
14500,"Boulder, CO  *",329194,330811,329543
14540,"Bowling Green, KY ",178450,179978,182594
14740,"Bremerton-Silverdale-Port Orchard, WA ",274963,275660,274314
14860,"Bridgeport-Stamford-Norwalk, CT ",957097,955895,959768
15180,"Brownsville-Harlingen, TX ",419958,421191,423029
15260,"Brunswick, GA ",113629,113492,113963
15380,"Buffalo-Cheektowaga, NY ",1165340,1165506,1162336
15500,"Burlington, NC ",169590,171842,173877
15540,"Burlington-South Burlington, VT ",224648,225563,226611
15680,"California-Lexington Park, MD ",113172,113953,114468
15940,"Canton-Massillon, OH ",401805,401046,400525
15980,"Cape Coral-Fort Myers, FL ",749512,764679,787976
16020,"Cape Girardeau, MO-IL ",97193,97481,97699
16060,"Carbondale-Marion, IL ",133935,133297,132907
16180,"Carson City, NV ",58260,58677,58993
16220,"Casper, WY ",79183,80229,79555
16300,"Cedar Rapids, IA ",275868,276446,275435
16540,"Chambersburg-Waynesboro, PA ",155814,155874,156289
16580,"Champaign-Urbana, IL ",222972,222123,222696
16620,"Charleston, WV ",260828,257840,255020
16700,"Charleston-North Charleston, SC ",789852,802961,813052
16740,"Charlotte-Concord-Gastonia, NC-SC ",2626694,2669665,2701046
