row_id,microbusiness_density
1001_2022-11-01,3.5783297742180826
1001_2022-12-01,3.5783297742180826
1001_2023-01-01,3.5783297742180826
1001_2023-02-01,3.5783297742180826
1001_2023-03-01,3.5783297742180826
1001_2023-04-01,3.5783297742180826
1001_2023-05-01,3.5783297742180826
1001_2023-06-01,3.5783297742180826
1003_2022-11-01,8.48377615053978
1003_2022-12-01,8.48377615053978
1003_2023-01-01,8.48377615053978
1003_2023-02-01,8.48377615053978
1003_2023-03-01,8.48377615053978
1003_2023-04-01,8.48377615053978
1003_2023-05-01,8.48377615053978
1003_2023-06-01,8.48377615053978
1005_2022-11-01,1.3313203759956953
1005_2022-12-01,1.336001782973205
1005_2023-01-01,1.3406831899507146
1005_2023-02-01,1.3453645969282242
1005_2023-03-01,1.3500460039057338
1005_2023-04-01,1.3547274108832434
1005_2023-05-01,1.359408817860753
1005_2023-06-01,1.3640902248382627
1007_2022-11-01,1.3917494303158289
1007_2022-12-01,1.3901544463285427
1007_2023-01-01,1.3888411541148937
1007_2023-02-01,1.3877598037990415
1007_2023-03-01,1.3868694318822352
1007_2023-04-01,1.3861363094716568
1007_2023-05-01,1.3855326645691757
1007_2023-06-01,1.38503563001801
1009_2022-11-01,1.946702159097635
1009_2022-12-01,1.9542714985713228
1009_2023-01-01,1.9618408380450103
1009_2023-02-01,1.969410177518698
1009_2023-03-01,1.9769795169923858
1009_2023-04-01,1.9845488564660734
1009_2023-05-01,1.9921181959397611
1009_2023-06-01,1.999687535413449
1011_2022-11-01,1.096673172021141
1011_2022-12-01,1.096673172021141
1011_2023-01-01,1.096673172021141
1011_2023-02-01,1.096673172021141
1011_2023-03-01,1.096673172021141
1011_2023-04-01,1.096673172021141
1011_2023-05-01,1.096673172021141
1011_2023-06-01,1.096673172021141
1013_2022-11-01,2.3039499520139692
1013_2022-12-01,2.3039499520139692
1013_2023-01-01,2.3039499520139692
1013_2023-02-01,2.3039499520139692
1013_2023-03-01,2.3039499520139692
1013_2023-04-01,2.3039499520139692
1013_2023-05-01,2.3039499520139692
1013_2023-06-01,2.3039499520139692
1015_2022-11-01,2.903648126306839
1015_2022-12-01,2.898695888002318
1015_2023-01-01,2.894321235056968
1015_2023-02-01,2.890456803013221
1015_2023-03-01,2.887043084209171
1015_2023-04-01,2.884027511431282
1015_2023-05-01,2.881363648441759
1015_2023-06-01,2.8790104749156615
1017_2022-11-01,1.549006998201561
1017_2022-12-01,1.549006998201561
1017_2023-01-01,1.549006998201561
