row_id,microbusiness_density
1001_2022-11-01,3.3609962422839414
1001_2022-12-01,3.348589229773972
1001_2023-01-01,3.3143402287464454
1001_2023-02-01,3.306043119382346
1001_2023-03-01,3.3560406149361115
1001_2023-04-01,3.3796056256873626
1001_2023-05-01,3.344552805807887
1001_2023-06-01,3.4323530334559496
1003_2022-11-01,8.299053607776894
1003_2022-12-01,8.25890174200699
1003_2023-01-01,8.074962422651303
1003_2023-02-01,7.975600571406271
1003_2023-03-01,8.073655401410587
1003_2023-04-01,7.983057190307421
1003_2023-05-01,7.944240693434388
1003_2023-06-01,8.800643561854654
1005_2022-11-01,1.1942658258674295
1005_2022-12-01,1.1996601036460868
1005_2023-01-01,1.2259326153275163
1005_2023-02-01,1.2267588710115884
1005_2023-03-01,1.2901899356972106
1005_2023-04-01,1.2269669811495763
1005_2023-05-01,1.1935159692788677
1005_2023-06-01,1.243566696135746
1007_2022-11-01,1.3152217779748694
1007_2022-12-01,1.3208620500751822
1007_2023-01-01,1.3281287613367962
1007_2023-02-01,1.3341917213030372
1007_2023-03-01,1.3847020881853065
1007_2023-04-01,1.3563614283564085
1007_2023-05-01,1.350593929539883
1007_2023-06-01,1.378435101283793
1009_2022-11-01,1.8447203223195208
1009_2022-12-01,1.8288413136523138
1009_2023-01-01,1.8321498461416903
1009_2023-02-01,1.822813309710669
1009_2023-03-01,1.8881595609984905
1009_2023-04-01,1.8113820479315712
1009_2023-05-01,1.8000555549375645
1009_2023-06-01,1.8383447080608484
1011_2022-11-01,1.0192145693775525
1011_2022-12-01,1.0454639215273156
1011_2023-01-01,1.0710255899776664
1011_2023-02-01,1.066819657922873
1011_2023-03-01,1.0172783373088543
1011_2023-04-01,1.0530756355135624
1011_2023-05-01,1.1620736654236343
1011_2023-06-01,1.1769964347498638
1013_2022-11-01,2.3844576371017476
1013_2022-12-01,2.384822628195398
1013_2023-01-01,2.465579081521315
1013_2023-02-01,2.796725254397057
1013_2023-03-01,2.640481182331474
1013_2023-04-01,2.7972224762283258
1013_2023-05-01,2.908153891465275
1013_2023-06-01,3.083844139189134
1015_2022-11-01,2.8158043363974232
1015_2022-12-01,2.800488306855557
1015_2023-01-01,2.765498477672968
1015_2023-02-01,2.7119905365488397
1015_2023-03-01,2.702085251291022
1015_2023-04-01,2.682191131814436
1015_2023-05-01,2.6735612293334294
1015_2023-06-01,2.74296652104369
1017_2022-11-01,1.3834452432410465
1017_2022-12-01,1.320121742775936
1017_2023-01-01,1.2665563124994808
1017_2023-02-01,1.2597316321410057
1017_2023-03-01,1.2629576979312707
1017_2023-04-01,1.2813131056507487
1017_2023-05-01,1.3002043547002438
1017_2023-06-01,1.2929214181699917
1019_2022-11-01,1.0808982753982015
1019_2022-12-01,1.062716647366553
1019_2023-01-01,1.030683042961865
1019_2023-02-01,1.0222822563578786
1019_2023-03-01,0.9330598378363694
1019_2023-04-01,0.9854359511647967
1019_2023-05-01,0.9957213343740383
1019_2023-06-01,0.9009823735794873
1021_2022-11-01,1.930933467091931
1021_2022-12-01,2.0362225112665535
1021_2023-01-01,2.1537467647779183
1021_2023-02-01,2.319276495973249
1021_2023-03-01,2.394703016536407
1021_2023-04-01,2.3645556516085557
1021_2023-05-01,2.358565298269378
1021_2023-06-01,2.517853726957765
1023_2022-11-01,1.6628804691722165
1023_2022-12-01,1.63353180377608
1023_2023-01-01,1.6885876570772522
1023_2023-02-01,1.7364309658051624
1023_2023-03-01,1.8333158843657689
1023_2023-04-01,1.803865976869139
1023_2023-05-01,1.7747558429655046
1023_2023-06-01,1.7946742437269436
1025_2022-11-01,1.429661158369343
1025_2022-12-01,1.5091138893976448
1025_2023-01-01,1.5654393964126025
1025_2023-02-01,1.4969188663893163
1025_2023-03-01,1.57091683243949
1025_2023-04-01,1.4864696253212404
