row_id,microbusiness_density
1001_2022-11-01,3.4638555
1001_2022-12-01,3.4638555
1001_2023-01-01,3.4638555
1001_2023-02-01,3.4638555
1001_2023-03-01,3.4638555
1001_2023-04-01,3.4638555
1001_2023-05-01,3.4638555
1001_2023-06-01,3.4638555
1003_2022-11-01,8.3597984
1003_2022-12-01,8.3597984
1003_2023-01-01,8.3597984
1003_2023-02-01,8.3597984
1003_2023-03-01,8.3597984
1003_2023-04-01,8.3597984
1003_2023-05-01,8.3597984
1003_2023-06-01,8.3597984
1005_2022-11-01,1.225027634006698
1005_2022-12-01,1.2297129143993963
1005_2023-01-01,1.2343981947920948
1005_2023-02-01,1.2390834751847932
1005_2023-03-01,1.2437687555774917
1005_2023-04-01,1.2484540359701901
1005_2023-05-01,1.2531393163628888
1005_2023-06-01,1.257824596755587
1007_2022-11-01,1.308233534656328
1007_2022-12-01,1.2840203519407118
1007_2023-01-01,1.2897520712924515
1007_2023-02-01,1.272907036872723
1007_2023-03-01,1.2809752739001037
1007_2023-04-01,1.265806897333549
1007_2023-05-01,1.2682012156935618
1007_2023-06-01,1.2613246336838542
1009_2022-11-01,1.8478134057704703
1009_2022-12-01,1.8551852885201219
1009_2023-01-01,1.8625571712697737
1009_2023-02-01,1.8699290540194253
1009_2023-03-01,1.877300936769077
1009_2023-04-01,1.8846728195187286
1009_2023-05-01,1.8920447022683802
1009_2023-06-01,1.8994165850180318
1011_2022-11-01,0.98809224
1011_2022-12-01,0.98809224
1011_2023-01-01,0.98809224
1011_2023-02-01,0.98809224
1011_2023-03-01,0.98809224
1011_2023-04-01,0.98809224
1011_2023-05-01,0.98809224
1011_2023-06-01,0.98809224
1013_2022-11-01,2.1859705
1013_2022-12-01,2.1859705
1013_2023-01-01,2.1859705
1013_2023-02-01,2.1859705
1013_2023-03-01,2.1859705
1013_2023-04-01,2.1859705
1013_2023-05-01,2.1859705
1013_2023-06-01,2.1859705
1015_2022-11-01,2.7940303185976045
1015_2022-12-01,2.7883351697588346
1015_2023-01-01,2.7833324222290106
1015_2023-02-01,2.778937895666898
1015_2023-03-01,2.775077644157105
1015_2023-04-01,2.7716867119353434
1015_2023-05-01,2.768708040389354
1015_2023-06-01,2.7660915079438078
1017_2022-11-01,1.4629882966887577
1017_2022-12-01,1.4111831572713012
1017_2023-01-01,1.3593780178538446
1017_2023-02-01,1.307572878436388
1017_2023-03-01,1.2557677390189315
1017_2023-04-01,1.203962599601475
1017_2023-05-01,1.1521574601840183
1017_2023-06-01,1.1003523207665618
1019_2022-11-01,1.122312373757376
1019_2022-12-01,1.122312373757376
1019_2023-01-01,1.122312373757376
1019_2023-02-01,1.122312373757376
1019_2023-03-01,1.122312373757376
1019_2023-04-01,1.122312373757376
1019_2023-05-01,1.122312373757376
1019_2023-06-01,1.122312373757376
1021_2022-11-01,1.82419791714283
1021_2022-12-01,1.8351943342856603
1021_2023-01-01,1.8461907514284905
1021_2023-02-01,1.8571871685713206
1021_2023-03-01,1.8681835857141507
1021_2023-04-01,1.8791800028569807
1021_2023-05-01,1.890176419999811
1021_2023-06-01,1.9011728371426413
1023_2022-11-01,1.7024411942856823
1023_2022-12-01,1.7197642885713647
1023_2023-01-01,1.737087382857047
1023_2023-02-01,1.7544104771427294
1023_2023-03-01,1.7717335714284115
1023_2023-04-01,1.7890566657140938
1023_2023-05-01,1.8063797599997762
1023_2023-06-01,1.8237028542854583
1025_2022-11-01,1.4178181321864056
1025_2022-12-01,1.492190379159989
1025_2023-01-01,1.5425645404041493
1025_2023-02-01,1.5929387016483094
1025_2023-03-01,1.6433128628924696
1025_2023-04-01,1.6936870241366297
1025_2023-05-01,1.74406118538079
1025_2023-06-01,1.79443534662495
1027_2022-11-01,1.5755143351633227
1027_2022-12-01,1.5688569483894446
1027_2023-01-01,1.5628870653628244
1027_2023-02-01,1.5575336880449602
1027_2023-03-01,1.5527331503158903
1027_2023-04-01,1.548428360812016
1027_2023-05-01,1.5445681239555378
1027_2023-06-01,1.541106531100719
1029_2022-11-01,1.356294670951794
1029_2022-12-01,1.356294670951794
1029_2023-01-01,1.356294670951794
1029_2023-02-01,1.356294670951794
1029_2023-03-01,1.356294670951794
1029_2023-04-01,1.356294670951794
1029_2023-05-01,1.356294670951794
1029_2023-06-01,1.356294670951794
1031_2022-11-01,2.1936247370224544
1031_2022-12-01,2.1750520278755663
1031_2023-01-01,2.159850673736787
1031_2023-02-01,2.1474086995570913
1031_2023-03-01,2.137225217212364
1031_2023-04-01,2.1288902607844187
1031_2023-05-01,2.1220682821818135
1031_2023-06-01,2.1164846426683095
1033_2022-11-01,2.4201277563431027
1033_2022-12-01,2.402007245306479
1033_2023-01-01,2.386639409691517
1033_2023-02-01,2.3736060923081848
1033_2023-03-01,2.362552657961888
1033_2023-04-01,2.3531783438671403
1033_2023-05-01,2.345228075923817
1033_2023-06-01,2.3384855281777326
1035_2022-11-01,1.0902717355595035
1035_2022-12-01,1.0854755276341301
1035_2023-01-01,1.0814222168669227
1035_2023-02-01,1.0779967339789427
1035_2023-03-01,1.0751018330720656
1035_2023-04-01,1.0726553309190276
1035_2023-05-01,1.0705877738670397
1035_2023-06-01,1.0688404661207882
1037_2022-11-01,0.82838911
1037_2022-12-01,0.82838911
1037_2023-01-01,0.82838911
1037_2023-02-01,0.82838911
1037_2023-03-01,0.82838911
1037_2023-04-01,0.82838911
1037_2023-05-01,0.82838911
1037_2023-06-01,0.82838911
1039_2022-11-01,1.6845804
1039_2022-12-01,1.6845804
1039_2023-01-01,1.6845804
1039_2023-02-01,1.6845804
1039_2023-03-01,1.6845804
1039_2023-04-01,1.6845804
1039_2023-05-01,1.6845804
1039_2023-06-01,1.6845804
1041_2022-11-01,1.0139401398243897
1041_2022-12-01,0.9889928842220803
1041_2023-01-01,0.9587966029172937
1041_2023-02-01,0.9307937444307052
1041_2023-03-01,0.912491494440094
1041_2023-04-01,0.899388664971717
1041_2023-05-01,0.8943047984753469
1041_2023-06-01,0.8976554095808948
1043_2022-11-01,2.6872737
1043_2022-12-01,2.6872737
1043_2023-01-01,2.6872737
1043_2023-02-01,2.6872737
1043_2023-03-01,2.6872737
1043_2023-04-01,2.6872737
1043_2023-05-01,2.6872737
1043_2023-06-01,2.6872737
1045_2022-11-01,1.7595617
1045_2022-12-01,1.7595617
1045_2023-01-01,1.7595617
1045_2023-02-01,1.7595617
1045_2023-03-01,1.7595617
1045_2023-04-01,1.7595617
1045_2023-05-01,1.7595617
1045_2023-06-01,1.7595617
1047_2022-11-01,1.4835849685714524
1047_2022-12-01,1.4932313371429045
1047_2023-01-01,1.5028777057143567
1047_2023-02-01,1.512524074285809
1047_2023-03-01,1.5221704428572613
1047_2023-04-01,1.5318168114287136
1047_2023-05-01,1.541463180000166
1047_2023-06-01,1.5511095485716182
1049_2022-11-01,2.2713821
1049_2022-12-01,2.2713821
1049_2023-01-01,2.2713821
1049_2023-02-01,2.2713821
1049_2023-03-01,2.2713821
1049_2023-04-01,2.2713821
1049_2023-05-01,2.2713821
1049_2023-06-01,2.2713821
1051_2022-11-01,3.24807081721208
1051_2022-12-01,3.2493710594865273
1051_2023-01-01,3.249961112472783
1051_2023-02-01,3.2502288798984633
1051_2023-03-01,3.250350393382719
1051_2023-04-01,3.250405536486173
1051_2023-05-01,3.250430560555536
1051_2023-06-01,3.2504419165367606
1053_2022-11-01,1.9345044931974262
1053_2022-12-01,1.9214934397216523
1053_2023-01-01,1.9093245557213854
1053_2023-02-01,1.8979433298976902
1053_2023-03-01,1.8872987793171192
1053_2023-04-01,1.8773432210303802
1053_2023-05-01,1.8680320584734975
1053_2023-06-01,1.8593235816946336
1055_2022-11-01,2.740891507732048
1055_2022-12-01,2.7431495233106316
1055_2023-01-01,2.744300974405946
1055_2023-02-01,2.744888144679471
1055_2023-03-01,2.7451875659328047
1055_2023-04-01,2.7453402526252177
1055_2023-05-01,2.745418113584587
1055_2023-06-01,2.7454578179550078
1057_2022-11-01,1.0514109
1057_2022-12-01,1.0514109
1057_2023-01-01,1.0514109
1057_2023-02-01,1.0514109
1057_2023-03-01,1.0514109
1057_2023-04-01,1.0514109
1057_2023-05-01,1.0514109
1057_2023-06-01,1.0514109
1059_2022-11-01,1.9323264
1059_2022-12-01,1.9323264
1059_2023-01-01,1.9323264
1059_2023-02-01,1.9323264
1059_2023-03-01,1.9323264
1059_2023-04-01,1.9323264
1059_2023-05-01,1.9323264
1059_2023-06-01,1.9323264
1061_2022-11-01,1.4473387774594428
1061_2022-12-01,1.4515762249089366
1061_2023-01-01,1.4558136723584303
1061_2023-02-01,1.460051119807924
1061_2023-03-01,1.464288567257418
1061_2023-04-01,1.4685260147069117
1061_2023-05-01,1.4727634621564056
1061_2023-06-01,1.4770009096058994
1063_2022-11-01,1.3971206270034058
1063_2022-12-01,1.3647198516384629
1063_2023-01-01,1.3406543152447954
1063_2023-02-01,1.322779741707844
1063_2023-03-01,1.3095034791761697
1063_2023-04-01,1.2996425923446284
1063_2023-05-01,1.2923184611087122
1063_2023-06-01,1.2868784941688887
1065_2022-11-01,1.1942584623426349
1065_2022-12-01,1.20592052468527
1065_2023-01-01,1.2138554159367143
1065_2023-02-01,1.2225790981043436
1065_2023-03-01,1.240117954091951
1065_2023-04-01,1.2576568433745192
1065_2023-05-01,1.2663804589522267
1065_2023-06-01,1.2692273474748839
1067_2022-11-01,2.4543042
1067_2022-12-01,2.4543042
1067_2023-01-01,2.4543042
1067_2023-02-01,2.4543042
1067_2023-03-01,2.4543042
1067_2023-04-01,2.4543042
1067_2023-05-01,2.4543042
1067_2023-06-01,2.4543042
1069_2022-11-01,3.413998577625361
1069_2022-12-01,3.4191723895502117
1069_2023-01-01,3.4226397189379747
1069_2023-02-01,3.4249634162926275
1069_2023-03-01,3.4265206866849574
1069_2023-04-01,3.427564321334699
1069_2023-05-01,3.4282637331308172
1069_2023-06-01,3.4287324573732234
1071_2022-11-01,1.7799511
1071_2022-12-01,1.7799511
1071_2023-01-01,1.7799511
1071_2023-02-01,1.7799511
1071_2023-03-01,1.7799511
1071_2023-04-01,1.7799511
1071_2023-05-01,1.7799511
1071_2023-06-01,1.7799511
1073_2022-11-01,6.506328790533068
1073_2022-12-01,6.506328790533068
1073_2023-01-01,6.506328790533068
1073_2023-02-01,6.506328790533068
1073_2023-03-01,6.506328790533068
1073_2023-04-01,6.506328790533068
1073_2023-05-01,6.506328790533068
1073_2023-06-01,6.506328790533068
1075_2022-11-01,0.9346725538046151
1075_2022-12-01,0.9246879189281788
1075_2023-01-01,0.9176629727533288
1075_2023-02-01,0.9188061023201906
1075_2023-03-01,0.9113875852767536
1075_2023-04-01,0.9130270283941129
1075_2023-05-01,0.9098254336543447
1075_2023-06-01,0.9052488331217554
1077_2022-11-01,4.038956146792779
1077_2022-12-01,4.0299610287641325
1077_2023-01-01,4.010862562719163
1077_2023-02-01,4.013422237835761
1077_2023-03-01,4.015981722135935
1077_2023-04-01,4.015981722135935
1077_2023-05-01,4.01000939068486
1077_2023-06-01,4.01982113940262
1079_2022-11-01,1.3549086
1079_2022-12-01,1.3549086
1079_2023-01-01,1.3549086
1079_2023-02-01,1.3549086
1079_2023-03-01,1.3549086
1079_2023-04-01,1.3549086
1079_2023-05-01,1.3549086
1079_2023-06-01,1.3549086
1081_2022-11-01,4.00979498637181
1081_2022-12-01,3.987947529813267
1081_2023-01-01,3.9706970324854813
1081_2023-02-01,3.9570762406437145
1081_2023-03-01,3.9463214219928977
1081_2023-04-01,3.937829542405011
1081_2023-05-01,3.9311244531537204
1081_2023-06-01,3.9258301927485326
1083_2022-11-01,2.9381914103163624
1083_2022-12-01,2.9305136733975563
1083_2023-01-01,2.856771926972253
1083_2023-02-01,2.8544051458516404
1083_2023-03-01,2.8628421700505124
1083_2023-04-01,2.8796069021704844
1083_2023-05-01,2.8731977360450167
1083_2023-06-01,2.9598132649119044
1085_2022-11-01,1.4121
1085_2022-12-01,1.4121
1085_2023-01-01,1.4121
1085_2023-02-01,1.4121
1085_2023-03-01,1.4121
1085_2023-04-01,1.4121
1085_2023-05-01,1.4121
1085_2023-06-01,1.4121
1087_2022-11-01,1.8796379439366662
1087_2022-12-01,1.8657558200815267
1087_2023-01-01,1.843039342629588
1087_2023-02-01,1.8229917860017006
1087_2023-03-01,1.803994902899156
1087_2023-04-01,1.7880906150046587
1087_2023-05-01,1.7905677649611125
1087_2023-06-01,1.7914775924029793
1089_2022-11-01,6.602569277831995
1089_2022-12-01,6.622951419975265
1089_2023-01-01,6.588369332331959
1089_2023-02-01,6.602778590000724
1089_2023-03-01,6.614912749241715
1089_2023-04-01,6.594328113219906
1089_2023-05-01,6.58360238234259
1089_2023-06-01,6.589127812631617
1091_2022-11-01,1.3511678942004266
1091_2022-12-01,1.3562725250145027
1091_2023-01-01,1.353720345643069
1091_2023-02-01,1.354996367314609
1091_2023-03-01,1.354358390484115
1091_2023-04-01,1.3546773618976302
1091_2023-05-01,1.3545178846912853
1091_2023-06-01,1.354597619044478
1093_2022-11-01,1.6331296183198474
1093_2022-12-01,1.63412180412394
1093_2023-01-01,1.634601964046575
1093_2023-02-01,1.6348343333773534
1093_2023-03-01,1.6349467865483513
1093_2023-04-01,1.6350012073087208
1093_2023-05-01,1.6350275437751174
1093_2023-06-01,1.6350402890851343
1095_2022-11-01,2.761829075389879
1095_2022-12-01,2.7323880241903713
1095_2023-01-01,2.70885517774934
1095_2023-02-01,2.69004488263235
1095_2023-03-01,2.675009421313429
1095_2023-04-01,2.6629912634022004
1095_2023-05-01,2.653384899053575
1095_2023-06-01,2.645706331615855
1097_2022-11-01,4.17132799618607
1097_2022-12-01,4.2501242620123385
1097_2023-01-01,4.291705398249947
1097_2023-02-01,4.299416595680222
1097_2023-03-01,4.336939592213243
1097_2023-04-01,4.406910537528036
1097_2023-05-01,4.463329097874741
