row_id,microbusiness_density
1001_2022-11-01,3.442677
1001_2022-12-01,3.442677
1001_2023-01-01,3.442677
1001_2023-02-01,3.442677
1001_2023-03-01,3.442677
1001_2023-04-01,3.442677
1001_2023-05-01,3.442677
1001_2023-06-01,3.442677
1003_2022-11-01,8.3417006
1003_2022-12-01,8.3417006
1003_2023-01-01,8.3417006
1003_2023-02-01,8.3417006
1003_2023-03-01,8.3417006
1003_2023-04-01,8.3417006
1003_2023-05-01,8.3417006
1003_2023-06-01,8.3417006
1005_2022-11-01,1.2026496372115165
1005_2022-12-01,1.2026496372115165
1005_2023-01-01,1.2026496372115165
1005_2023-02-01,1.2026496372115165
1005_2023-03-01,1.2026496372115165
1005_2023-04-01,1.2026496372115165
1005_2023-05-01,1.2026496372115165
1005_2023-06-01,1.2026496372115165
1007_2022-11-01,1.312490396561398
1007_2022-12-01,1.312490396561398
1007_2023-01-01,1.312490396561398
1007_2023-02-01,1.312490396561398
1007_2023-03-01,1.312490396561398
1007_2023-04-01,1.312490396561398
1007_2023-05-01,1.312490396561398
1007_2023-06-01,1.312490396561398
1009_2022-11-01,1.8516881087739054
1009_2022-12-01,1.8516881087739054
1009_2023-01-01,1.8516881087739054
1009_2023-02-01,1.8516881087739054
1009_2023-03-01,1.8516881087739054
1009_2023-04-01,1.8516881087739054
1009_2023-05-01,1.8516881087739054
1009_2023-06-01,1.8516881087739054
1011_2022-11-01,0.97542435
1011_2022-12-01,0.97542435
1011_2023-01-01,0.97542435
1011_2023-02-01,0.97542435
1011_2023-03-01,0.97542435
1011_2023-04-01,0.97542435
1011_2023-05-01,0.97542435
1011_2023-06-01,0.97542435
1013_2022-11-01,2.1659385244630283
1013_2022-12-01,2.1659385244630283
1013_2023-01-01,2.1659385244630283
1013_2023-02-01,2.1659385244630283
1013_2023-03-01,2.1659385244630283
1013_2023-04-01,2.1659385244630283
1013_2023-05-01,2.1659385244630283
1013_2023-06-01,2.1659385244630283
1015_2022-11-01,2.8094468
1015_2022-12-01,2.8094468
1015_2023-01-01,2.8094468
1015_2023-02-01,2.8094468
1015_2023-03-01,2.8094468
1015_2023-04-01,2.8094468
1015_2023-05-01,2.8094468
1015_2023-06-01,2.8094468
1017_2022-11-01,1.5048537752202376
1017_2022-12-01,1.5048537752202376
1017_2023-01-01,1.5048537752202376
1017_2023-02-01,1.5048537752202376
1017_2023-03-01,1.5048537752202376
1017_2023-04-01,1.5048537752202376
1017_2023-05-01,1.5048537752202376
1017_2023-06-01,1.5048537752202376
1019_2022-11-01,1.133001154653205
1019_2022-12-01,1.133001154653205
1019_2023-01-01,1.133001154653205
1019_2023-02-01,1.133001154653205
1019_2023-03-01,1.133001154653205
1019_2023-04-01,1.133001154653205
1019_2023-05-01,1.133001154653205
1019_2023-06-01,1.133001154653205
1021_2022-11-01,1.7685415
1021_2022-12-01,1.7685415
1021_2023-01-01,1.7685415
1021_2023-02-01,1.7685415
1021_2023-03-01,1.7685415
1021_2023-04-01,1.7685415
1021_2023-05-01,1.7685415
1021_2023-06-01,1.7685415
1023_2022-11-01,1.6459292
1023_2022-12-01,1.6459292
1023_2023-01-01,1.6459292
1023_2023-02-01,1.6459292
1023_2023-03-01,1.6459292
1023_2023-04-01,1.6459292
1023_2023-05-01,1.6459292
1023_2023-06-01,1.6459292
1025_2022-11-01,1.3526518
1025_2022-12-01,1.3526518
1025_2023-01-01,1.3526518
1025_2023-02-01,1.3526518
1025_2023-03-01,1.3526518
1025_2023-04-01,1.3526518
1025_2023-05-01,1.3526518
1025_2023-06-01,1.3526518
1027_2022-11-01,1.6209029472521514
1027_2022-12-01,1.6209029472521514
1027_2023-01-01,1.6209029472521514
1027_2023-02-01,1.6209029472521514
1027_2023-03-01,1.6209029472521514
1027_2023-04-01,1.6209029472521514
1027_2023-05-01,1.6209029472521514
1027_2023-06-01,1.6209029472521514
1029_2022-11-01,1.357743043495068
1029_2022-12-01,1.357743043495068
1029_2023-01-01,1.357743043495068
1029_2023-02-01,1.357743043495068
1029_2023-03-01,1.357743043495068
1029_2023-04-01,1.357743043495068
1029_2023-05-01,1.357743043495068
1029_2023-06-01,1.357743043495068
1031_2022-11-01,2.187137339361676
1031_2022-12-01,2.187137339361676
1031_2023-01-01,2.187137339361676
1031_2023-02-01,2.187137339361676
1031_2023-03-01,2.187137339361676
1031_2023-04-01,2.187137339361676
