row_id,microbusiness_density
1001_2022-11-01,3.380903064316447
1001_2022-12-01,3.4114911024525005
1001_2023-01-01,3.425747913452714
1001_2023-02-01,3.407626844158972
1001_2023-03-01,3.4260377505202557
1001_2023-04-01,3.4804173818309687
1001_2023-05-01,3.454067002364093
1001_2023-06-01,3.462237527365794
1003_2022-11-01,8.48309924753618
1003_2022-12-01,8.477890167392475
1003_2023-01-01,8.30946153313705
1003_2023-02-01,8.227294815398217
1003_2023-03-01,8.285836621115953
1003_2023-04-01,8.381496744175518
1003_2023-05-01,8.37063655941587
1003_2023-06-01,8.586740801245933
1005_2022-11-01,1.2109812361901102
1005_2022-12-01,1.2082687785626425
1005_2023-01-01,1.2507483492321232
1005_2023-02-01,1.2390433254431021
1005_2023-03-01,1.2406904036873
1005_2023-04-01,1.2424969224981839
1005_2023-05-01,1.2323810655038303
1005_2023-06-01,1.2281919420559204
1007_2022-11-01,1.268594727924018
1007_2022-12-01,1.2732451173987172
1007_2023-01-01,1.2534932684095035
1007_2023-02-01,1.2594273499862783
1007_2023-03-01,1.2744422791322758
1007_2023-04-01,1.2619004922444568
1007_2023-05-01,1.2644536058219176
1007_2023-06-01,1.2744771117672316
1009_2022-11-01,1.8398034992485968
1009_2022-12-01,1.8300593141146504
1009_2023-01-01,1.8436836412327107
1009_2023-02-01,1.8683396136338972
1009_2023-03-01,1.879500364854484
1009_2023-04-01,1.8455934982267825
1009_2023-05-01,1.8285358881048335
1009_2023-06-01,1.8353073612775443
1011_2022-11-01,0.9840368249304038
1011_2022-12-01,1.0010427863325664
1011_2023-01-01,1.006551491646725
1011_2023-02-01,0.997622867026205
1011_2023-03-01,1.0335394090880337
1011_2023-04-01,1.016707517574149
1011_2023-05-01,0.9954018709248184
1011_2023-06-01,1.0032435455239357
1013_2022-11-01,2.2996281674273766
1013_2022-12-01,2.3327391273054774
1013_2023-01-01,2.4315834624485473
1013_2023-02-01,2.5063356625663507
1013_2023-03-01,2.4810392874845517
1013_2023-04-01,2.4205036235632162
1013_2023-05-01,2.43814367673064
1013_2023-06-01,2.4874699360566654
1015_2022-11-01,2.809624449606841
1015_2022-12-01,2.8017611093326003
1015_2023-01-01,2.7877519333248717
1015_2023-02-01,2.746851802068118
1015_2023-03-01,2.749404437320921
1015_2023-04-01,2.7585502457682654
1015_2023-05-01,2.7385331150282664
1015_2023-06-01,2.7521283098563707
1017_2022-11-01,1.4570694020125399
1017_2022-12-01,1.4468051365646046
1017_2023-01-01,1.4410772448557159
1017_2023-02-01,1.4297645918947874
1017_2023-03-01,1.4185904230921242
1017_2023-04-01,1.4333653111075288
1017_2023-05-01,1.4318232368204107
1017_2023-06-01,1.402072975430667
1019_2022-11-01,1.1402628881576489
1019_2022-12-01,1.146870279684758
1019_2023-01-01,1.1304709996101123
1019_2023-02-01,1.092525618921303
1019_2023-03-01,1.1133766225911894
1019_2023-04-01,1.1464919258197954
1019_2023-05-01,1.1173650891248519
1019_2023-06-01,1.0899524279316777
1021_2022-11-01,1.8323862494290184
1021_2022-12-01,1.8470707459624152
1021_2023-01-01,1.8412157064059993
1021_2023-02-01,1.847135690563603
1021_2023-03-01,1.8463582599153225
1021_2023-04-01,1.871351200238741
1021_2023-05-01,1.8781979648856844
1021_2023-06-01,1.8848222084549888
1023_2022-11-01,1.6861347859443834
1023_2022-12-01,1.659170066135308
1023_2023-01-01,1.6900352998762729
1023_2023-02-01,1.7176722626173144
1023_2023-03-01,1.7336539660270138
1023_2023-04-01,1.754923104870899
1023_2023-05-01,1.6831383520886034
1023_2023-06-01,1.734731729134116
1025_2022-11-01,1.3388554086229987
1025_2022-12-01,1.3429752563388424
1025_2023-01-01,1.3442904721187192
1025_2023-02-01,1.305436438147236
1025_2023-03-01,1.3128487449275266
1025_2023-04-01,1.3649791696170042
1025_2023-05-01,1.340949181582949
1025_2023-06-01,1.3224725146598042
1027_2022-11-01,1.6494866680834714
1027_2022-12-01,1.6213897684033987
1027_2023-01-01,1.6296442080948643
1027_2023-02-01,1.665247777994429
1027_2023-03-01,1.6867537415715217
1027_2023-04-01,1.6588908823093946
1027_2023-05-01,1.6531724986378797
1027_2023-06-01,1.6740466439356276
1029_2022-11-01,1.3300938794699304
1029_2022-12-01,1.3285972363324912
1029_2023-01-01,1.337038165453413
1029_2023-02-01,1.3578339124679837
1029_2023-03-01,1.4107789825127504
1029_2023-04-01,1.3925476267768961
1029_2023-05-01,1.358984583748736
1029_2023-06-01,1.373495617022198
1031_2022-11-01,2.2108345292625
