row_id,microbusiness_density
1001_2022-11-01,3.4693814245869716
1001_2022-12-01,3.475983496095069
1001_2023-01-01,3.4825855676031656
1001_2023-02-01,3.489187639111263
1001_2023-03-01,3.49578971061936
1001_2023-04-01,3.5023917821274573
1001_2023-05-01,3.5089938536355545
1001_2023-06-01,3.5155959251436517
1003_2022-11-01,8.371505818340047
1003_2022-12-01,8.383213874554622
1003_2023-01-01,8.394921930769197
1003_2023-02-01,8.406629986983772
1003_2023-03-01,8.418338043198347
1003_2023-04-01,8.430046099412921
1003_2023-05-01,8.441754155627496
1003_2023-06-01,8.453462211842071
1005_2022-11-01,1.2219344483056895
1005_2022-12-01,1.2247899797834223
1005_2023-01-01,1.227645511261155
1005_2023-02-01,1.230501042738888
1005_2023-03-01,1.2333565742166208
1005_2023-04-01,1.2362121056943536
1005_2023-05-01,1.2390676371720863
1005_2023-06-01,1.241923168649819
1007_2022-11-01,1.2899798542147876
1007_2022-12-01,1.2895686436075
1007_2023-01-01,1.2891574330002127
1007_2023-02-01,1.2887462223929251
1007_2023-03-01,1.2883350117856378
1007_2023-04-01,1.2879238011783503
1007_2023-05-01,1.287512590571063
1007_2023-06-01,1.2871013799637754
1009_2022-11-01,1.8374249422258366
1009_2022-12-01,1.8415194853432455
1009_2023-01-01,1.8456140284606544
1009_2023-02-01,1.8497085715780632
1009_2023-03-01,1.8538031146954723
1009_2023-04-01,1.8578976578128812
1009_2023-05-01,1.86199220093029
1009_2023-06-01,1.866086744047699
1011_2022-11-01,0.9864255078837942
1011_2022-12-01,0.9850419497188144
1011_2023-01-01,0.9836583915538347
1011_2023-02-01,0.9822748333888549
1011_2023-03-01,0.9808912752238752
1011_2023-04-01,0.9795077170588954
1011_2023-05-01,0.9781241588939157
1011_2023-06-01,0.9767406007289359
1013_2022-11-01,2.2070870399643563
1013_2022-12-01,2.228193314630348
1013_2023-01-01,2.24929958929634
1013_2023-02-01,2.270405863962332
1013_2023-03-01,2.291512138628324
1013_2023-04-01,2.3126184132943157
1013_2023-05-01,2.3337246879603075
1013_2023-06-01,2.3548309626262993
1015_2022-11-01,2.799818509256077
1015_2022-12-01,2.7991224948937288
1015_2023-01-01,2.7984264805313805
1015_2023-02-01,2.7977304661690323
1015_2023-03-01,2.797034451806684
1015_2023-04-01,2.796338437444336
1015_2023-05-01,2.795642423081988
1015_2023-06-01,2.79494640871964
1017_2022-11-01,1.4502816302873107
1017_2022-12-01,1.4519869217852863
1017_2023-01-01,1.453692213283262
1017_2023-02-01,1.4553975047812377
1017_2023-03-01,1.4571027962792134
1017_2023-04-01,1.4588080877771892
1017_2023-05-01,1.4605133792751648
1017_2023-06-01,1.4622186707731406
1019_2022-11-01,1.1245024827569547
