row_id,microbusiness_density
1001_2022-11-01,3.3841960749999997
1001_2022-12-01,3.400696141666667
1001_2023-01-01,3.3777015416666667
1001_2023-02-01,3.4232842416666664
1001_2023-03-01,3.4446829416666667
1001_2023-04-01,3.5056329083333333
1001_2023-05-01,3.4884072416666667
1001_2023-06-01,3.5025891749999998
1003_2022-11-01,8.390948583333333
1003_2022-12-01,8.402558416666668
1003_2023-01-01,8.247007483333334
1003_2023-02-01,8.199249383333335
1003_2023-03-01,8.271959283333334
1003_2023-04-01,8.387849583333333
1003_2023-05-01,8.385010650000002
1003_2023-06-01,8.625348683333334
1005_2022-11-01,1.1975105400000001
1005_2022-12-01,1.1975105400000001
1005_2023-01-01,1.2445749066666667
1005_2023-02-01,1.2363718066666667
1005_2023-03-01,1.2312956400000001
1005_2023-04-01,1.262593606666667
1005_2023-05-01,1.2576099066666668
1005_2023-06-01,1.2347659533333335
1007_2022-11-01,1.2258024916666665
1007_2022-12-01,1.218341225
1007_2023-01-01,1.2160102916666666
1007_2023-02-01,1.2141749916666666
1007_2023-03-01,1.229140125
1007_2023-04-01,1.2179274583333333
1007_2023-05-01,1.221650325
1007_2023-06-01,1.2291508583333333
1009_2022-11-01,1.8437764333333329
1009_2022-12-01,1.8346960999999993
1009_2023-01-01,1.8402670999999995
1009_2023-02-01,1.862043666666666
1009_2023-03-01,1.8740749333333326
1009_2023-04-01,1.8756346666666661
1009_2023-05-01,1.8756434333333327
1009_2023-06-01,1.8801380666666663
1011_2022-11-01,0.7787503791666671
1011_2022-12-01,0.7950759191666671
1011_2023-01-01,0.8022792358333337
1011_2023-02-01,0.7820709025000004
1011_2023-03-01,0.8152996525000006
1011_2023-04-01,0.8071361158333338
1011_2023-05-01,0.7706007091666671
1011_2023-06-01,0.7912381025000005
1013_2022-11-01,2.2657748858333333
1013_2022-12-01,2.2506208758333335
1013_2023-01-01,2.2714851691666667
1013_2023-02-01,2.5858552358333333
1013_2023-03-01,2.5773125358333338
1013_2023-04-01,2.5316732525
1013_2023-05-01,2.5598136525
1013_2023-06-01,2.6293707025
1015_2022-11-01,2.7102733583333336
1015_2022-12-01,2.7084383250000004
1015_2023-01-01,2.7058909250000003
1015_2023-02-01,2.6567996583333335
1015_2023-03-01,2.663114358333334
1015_2023-04-01,2.6775538250000004
1015_2023-05-01,2.663778491666667
1015_2023-06-01,2.6786456916666674
1017_2022-11-01,1.4385794833333334
1017_2022-12-01,1.4336394166666668
1017_2023-01-01,1.4439713833333334
1017_2023-02-01,1.4226703500000002
1017_2023-03-01,1.4190213500000002
1017_2023-04-01,1.4390340166666666
