cfips,county,year,population,income_per_capita,total_employment,workers,proprietors,private_nonfarm,construction,manufacturing,retail_trade,transport_warehousing,information,finance,insurance,professional,accommodation
1001,Autauga,2019,58245,42846,18318,12584,5734,15418,1177,1686,2245,370,72,584,935,NA,1402
1001,Autauga,2020,58877,45248,18610,12247,6363,15747,1242,1578,2243,494,62,634,1071,NA,1336
1001,Autauga,2021,59095,48347,19170,12655,6515,16316,1247,1577,2374,528,63,656,1090,NA,1386
1003,Baldwin,2019,227079,48380,117000,83634,33366,104931,8566,4848,16685,3003,814,4543,8936,5423,14934
1003,Baldwin,2020,233140,51348,117257,80210,37047,105026,9343,4378,16271,3390,853,5199,10382,5764,13347
1003,Baldwin,2021,239294,54659,122061,84066,37995,109485,10020,4230,17018,3767,870,5356,10915,5990,14340
1005,Barbour,2019,25205,34870,11826,8879,2947,9551,430,2497,1070,553,26,306,272,NA,814
1005,Barbour,2020,25180,37120,11641,8571,3070,9375,424,2305,1085,519,24,344,318,NA,784
1005,Barbour,2021,24964,40428,11459,8340,3119,9247,447,2184,1091,478,26,336,327,243,751
1007,Bibb,2019,22405,31800,6880,5104,1776,5369,1102,664,622,291,NA,169,124,174,239
1007,Bibb,2020,22223,34598,6995,5139,1856,5489,1072,622,667,493,NA,170,147,189,208
1007,Bibb,2021,22477,36892,7115,5223,1892,5609,1005,691,724,513,NA,175,151,181,228
1009,Blount,2019,58956,36542,15844,9972,5872,12377,1640,1486,1643,NA,121,416,516,619,939
1009,Blount,2020,59081,38351,15719,9622,6097,12297,1699,1421,1641,NA,109,460,553,655,827
1009,Blount,2021,59041,42634,15941,9721,6220,12530,1745,1402,1695,NA,111,469,568,608,886
1011,Bullock,2019,10455,27192,4251,3139,1112,3122,NA,NA,285,NA,NA,74,39,67,NA
1011,Bullock,2020,10309,30429,4261,3120,1141,3153,NA,798,316,NA,NA,68,42,NA,NA
1011,Bullock,2021,10320,33267,4122,2965,1157,3047,NA,781,322,NA,NA,70,40,NA,NA
1013,Butler,2019,19097,39254,9698,7502,2196,8321,451,1474,1059,513,75,253,160,299,811
1013,Butler,2020,19045,41151,9188,6941,2247,7853,425,1300,1056,509,65,294,163,294,732
1013,Butler,2021,18884,46050,9285,6994,2291,7977,423,1289,1076,545,63,293,163,260,771
1015,Calhoun,2019,116669,36869,58468,48289,10179,44585,2281,6866,6946,1466,529,1479,1547,1994,5160
1015,Calhoun,2020,116266,39546,57303,46461,10842,43504,2387,6634,6953,1683,475,1543,1757,1943,4455
1015,Calhoun,2021,115972,42621,58474,47377,11097,44681,2424,6827,7140,1806,425,1560,1800,1986,4809
