cbsa_code,cbsa,date,year,active,population,state,census_region,activity
10100,"Aberdeen, SD",2019-08-01,2019,928,313952,South Dakota,West North Central,0.29558658648455816
10100,"Aberdeen, SD",2019-09-01,2019,905,313952,South Dakota,West North Central,0.28826062582815204
10100,"Aberdeen, SD",2019-10-01,2019,902,313952,South Dakota,West North Central,0.2873050657425339
10100,"Aberdeen, SD",2019-11-01,2019,907,313952,South Dakota,West North Central,0.28889766588523086
10100,"Aberdeen, SD",2019-12-01,2019,908,313952,South Dakota,West North Central,0.2892161859137703
10100,"Aberdeen, SD",2020-01-01,2020,907,393294,South Dakota,West North Central,0.23061628196717976
10100,"Aberdeen, SD",2020-02-01,2020,894,393294,South Dakota,West North Central,0.22731086667988834
10100,"Aberdeen, SD",2020-03-01,2020,896,393294,South Dakota,West North Central,0.2278193921087024
10100,"Aberdeen, SD",2020-04-01,2020,898,393294,South Dakota,West North Central,0.22832791753751644
10100,"Aberdeen, SD",2020-05-01,2020,885,393294,South Dakota,West North Central,0.22502250225022502
10100,"Aberdeen, SD",2020-06-01,2020,885,393294,South Dakota,West North Central,0.22502250225022502
10100,"Aberdeen, SD",2020-07-01,2020,875,393294,South Dakota,West North Central,0.2224798751061547
10100,"Aberdeen, SD",2020-08-01,2020,880,393294,South Dakota,West North Central,0.22375118867818986
10100,"Aberdeen, SD",2020-09-01,2020,881,393294,South Dakota,West North Central,0.2240054513925969
10100,"Aberdeen, SD",2020-10-01,2020,886,393294,South Dakota,West North Central,0.22527676496463203
10100,"Aberdeen, SD",2020-11-01,2020,878,393294,South Dakota,West North Central,0.2232426632493758
10100,"Aberdeen, SD",2020-12-01,2020,877,393294,South Dakota,West North Central,0.22298840053496874
10100,"Aberdeen, SD",2021-01-01,2021,869,440300,South Dakota,West North Central,0.19736543265955034
10100,"Aberdeen, SD",2021-02-01,2021,816,440300,South Dakota,West North Central,0.18532818532818532
10100,"Aberdeen, SD",2021-03-01,2021,822,440300,South Dakota,West North Central,0.1866908925732455
10100,"Aberdeen, SD",2021-04-01,2021,822,440300,South Dakota,West North Central,0.1866908925732455
10100,"Aberdeen, SD",2021-05-01,2021,819,440300,South Dakota,West North Central,0.18600953895071543
10100,"Aberdeen, SD",2021-06-01,2021,836,440300,South Dakota,West North Central,0.18987054281171928
10100,"Aberdeen, SD",2021-07-01,2021,836,440300,South Dakota,West North Central,0.18987054281171928
10100,"Aberdeen, SD",2021-08-01,2021,846,440300,South Dakota,West North Central,0.19214172155348627
10100,"Aberdeen, SD",2021-09-01,2021,857,440300,South Dakota,West North Central,0.19464001816942994
10100,"Aberdeen, SD",2021-10-01,2021,865,440300,South Dakota,West North Central,0.19645696116284353
10100,"Aberdeen, SD",2021-11-01,2021,900,440300,South Dakota,West North Central,0.20440608675902794
10100,"Aberdeen, SD",2021-12-01,2021,898,440300,South Dakota,West North Central,0.2039518510106745
10100,"Aberdeen, SD",2022-01-01,2022,899,440300,South Dakota,West North Central,0.20417896888485126
10100,"Aberdeen, SD",2022-02-01,2022,895,440300,South Dakota,West North Central,0.20327049738814446
10100,"Aberdeen, SD",2022-03-01,2022,905,440300,South Dakota,West North Central,0.2055416761299114
10100,"Aberdeen, SD",2022-04-01,2022,906,440300,South Dakota,West North Central,0.20576879400408815
10100,"Aberdeen, SD",2022-05-01,2022,899,440300,South Dakota,West North Central,0.20417896888485126
10100,"Aberdeen, SD",2022-06-01,2022,900,440300,South Dakota,West North Central,0.20440608675902794
10100,"Aberdeen, SD",2022-07-01,2022,907,440300,South Dakota,West North Central,0.20599591187826483
10100,"Aberdeen, SD",2022-08-01,2022,891,440300,South Dakota,West North Central,0.20236202589143767
10100,"Aberdeen, SD",2022-09-01,2022,897,440300,South Dakota,West North Central,0.20372473313649783
10100,"Aberdeen, SD",2022-10-01,2022,895,440300,South Dakota,West North Central,0.20327049738814446
10140,"Aberdeen, WA",2019-08-01,2019,1847,921442,Washington,Pacific,0.20044669116450084
10140,"Aberdeen, WA",2019-09-01,2019,1889,921442,Washington,Pacific,0.20500476427165246
10140,"Aberdeen, WA",2019-10-01,2019,1884,921442,Washington,Pacific,0.20446213652080109
10140,"Aberdeen, WA",2019-11-01,2019,1895,921442,Washington,Pacific,0.20565591757267412
10140,"Aberdeen, WA",2019-12-01,2019,1890,921442,Washington,Pacific,0.20511328982182275
10140,"Aberdeen, WA",2020-01-01,2020,1879,1062888,Washington,Pacific,0.17678250201338241
10140,"Aberdeen, WA",2020-02-01,2020,1866,1062888,Washington,Pacific,0.17555941924266716
10140,"Aberdeen, WA",2020-03-01,2020,1824,1062888,Washington,Pacific,0.17160792106035633
10140,"Aberdeen, WA",2020-04-01,2020,1867,1062888,Washington,Pacific,0.17565350253272216
10140,"Aberdeen, WA",2020-05-01,2020,1875,1062888,Washington,Pacific,0.17640616885316235
10140,"Aberdeen, WA",2020-06-01,2020,1884,1062888,Washington,Pacific,0.1772529184636575
10140,"Aberdeen, WA",2020-07-01,2020,1792,1062888,Washington,Pacific,0.16859725577859566
10140,"Aberdeen, WA",2020-08-01,2020,1785,1062888,Washington,Pacific,0.16793867274821053
10140,"Aberdeen, WA",2020-09-01,2020,1805,1062888,Washington,Pacific,0.16982033854931095
10140,"Aberdeen, WA",2020-10-01,2020,1814,1062888,Washington,Pacific,0.17066708815980614
10140,"Aberdeen, WA",2020-11-01,2020,1818,1062888,Washington,Pacific,0.1710434213200262
10140,"Aberdeen, WA",2020-12-01,2020,1808,1062888,Washington,Pacific,0.17010258841947598
10140,"Aberdeen, WA",2021-01-01,2021,1809,1215089,Washington,Pacific,0.14887798342343647
10140,"Aberdeen, WA",2021-02-01,2021,1760,1215089,Washington,Pacific,0.1448453570067707
10140,"Aberdeen, WA",2021-03-01,2021,1775,1215089,Washington,Pacific,0.14607983448126022
10140,"Aberdeen, WA",2021-04-01,2021,1769,1215089,Washington,Pacific,0.1455860434914644
10140,"Aberdeen, WA",2021-05-01,2021,1774,1215089,Washington,Pacific,0.14599753598296092
10140,"Aberdeen, WA",2021-06-01,2021,1780,1215089,Washington,Pacific,0.14649132697275674
10140,"Aberdeen, WA",2021-07-01,2021,1782,1215089,Washington,Pacific,0.14665592396935534
10140,"Aberdeen, WA",2021-08-01,2021,1806,1215089,Washington,Pacific,0.14863108792853857
10140,"Aberdeen, WA",2021-09-01,2021,1800,1215089,Washington,Pacific,0.14813729693874275
10140,"Aberdeen, WA",2021-10-01,2021,1810,1215089,Washington,Pacific,0.14896028192173577
10140,"Aberdeen, WA",2021-11-01,2021,1838,1215089,Washington,Pacific,0.1512646398741162
10140,"Aberdeen, WA",2021-12-01,2021,1867,1215089,Washington,Pacific,0.15365129632479596
10140,"Aberdeen, WA",2022-01-01,2022,1874,1215089,Washington,Pacific,0.15422738581289105
10140,"Aberdeen, WA",2022-02-01,2022,1886,1215089,Washington,Pacific,0.15521496779248267
10140,"Aberdeen, WA",2022-03-01,2022,1909,1215089,Washington,Pacific,0.15710783325336664
10140,"Aberdeen, WA",2022-04-01,2022,1911,1215089,Washington,Pacific,0.15727243024996523
10140,"Aberdeen, WA",2022-05-01,2022,1914,1215089,Washington,Pacific,0.15751932574486313
10140,"Aberdeen, WA",2022-06-01,2022,1976,1215089,Washington,Pacific,0.16262183263941984
10140,"Aberdeen, WA",2022-07-01,2022,2009,1215089,Washington,Pacific,0.16533768308329677
10140,"Aberdeen, WA",2022-08-01,2022,1993,1215089,Washington,Pacific,0.16402090711050796
10140,"Aberdeen, WA",2022-09-01,2022,1993,1215089,Washington,Pacific,0.16402090711050796
