cfips,cbsa_code,county,cbsa,state,cbsa_type
1001,33860,Autauga,"Montgomery, AL",Alabama,Metropolitan Statistical Area
1003,19300,Baldwin,"Daphne-Fairhope-Foley, AL",Alabama,Metropolitan Statistical Area
1005,21640,Barbour,"Eufaula, AL-GA",Alabama,Micropolitan Statistical Area
1007,13820,Bibb,"Birmingham-Hoover, AL",Alabama,Metropolitan Statistical Area
1009,13820,Blount,"Birmingham-Hoover, AL",Alabama,Metropolitan Statistical Area
1015,11500,Calhoun,"Anniston-Oxford, AL",Alabama,Metropolitan Statistical Area
1017,29300,Chambers,"LaGrange, GA-AL",Alabama,Micropolitan Statistical Area
1021,13820,Chilton,"Birmingham-Hoover, AL",Alabama,Metropolitan Statistical Area
1031,21460,Coffee,"Enterprise, AL",Alabama,Micropolitan Statistical Area
1033,22520,Colbert,"Florence-Muscle Shoals, AL",Alabama,Metropolitan Statistical Area
1037,10760,Coosa,"Alexander City, AL",Alabama,Micropolitan Statistical Area
1043,18980,Cullman,"Cullman, AL",Alabama,Micropolitan Statistical Area
1045,37120,Dale,"Ozark, AL",Alabama,Micropolitan Statistical Area
1047,42820,Dallas,"Selma, AL",Alabama,Micropolitan Statistical Area
1049,22840,DeKalb,"Fort Payne, AL",Alabama,Micropolitan Statistical Area
1051,33860,Elmore,"Montgomery, AL",Alabama,Metropolitan Statistical Area
1053,12120,Escambia,"Atmore, AL",Alabama,Micropolitan Statistical Area
1055,23460,Etowah,"Gadsden, AL",Alabama,Metropolitan Statistical Area
1061,20020,Geneva,"Dothan, AL",Alabama,Metropolitan Statistical Area
1063,46220,Greene,"Tuscaloosa, AL",Alabama,Metropolitan Statistical Area
1065,46220,Hale,"Tuscaloosa, AL",Alabama,Metropolitan Statistical Area
1067,20020,Henry,"Dothan, AL",Alabama,Metropolitan Statistical Area
1069,20020,Houston,"Dothan, AL",Alabama,Metropolitan Statistical Area
1071,42460,Jackson,"Scottsboro, AL",Alabama,Micropolitan Statistical Area
1073,13820,Jefferson,"Birmingham-Hoover, AL",Alabama,Metropolitan Statistical Area
1077,22520,Lauderdale,"Florence-Muscle Shoals, AL",Alabama,Metropolitan Statistical Area
1079,19460,Lawrence,"Decatur, AL",Alabama,Metropolitan Statistical Area
1081,12220,Lee,"Auburn-Opelika, AL",Alabama,Metropolitan Statistical Area
1083,26620,Limestone,"Huntsville, AL",Alabama,Metropolitan Statistical Area
1085,33860,Lowndes,"Montgomery, AL",Alabama,Metropolitan Statistical Area
