date,year,state,hires,openings,quits,separations,discharges
2000-12-01,2000,Alabama,78000,68000,38000,68000,24000
2001-01-01,2001,Alabama,81000,70000,45000,77000,25000
2001-02-01,2001,Alabama,67000,70000,43000,76000,28000
2001-03-01,2001,Alabama,86000,58000,42000,79000,32000
2001-04-01,2001,Alabama,86000,65000,48000,80000,27000
2001-05-01,2001,Alabama,79000,67000,43000,73000,25000
2001-06-01,2001,Alabama,70000,61000,46000,79000,27000
2001-07-01,2001,Alabama,61000,63000,41000,71000,25000
2001-08-01,2001,Alabama,73000,57000,43000,71000,24000
2001-09-01,2001,Alabama,73000,60000,39000,65000,20000
2001-10-01,2001,Alabama,76000,56000,41000,74000,29000
2001-11-01,2001,Alabama,73000,59000,34000,80000,42000
2001-12-01,2001,Alabama,88000,59000,51000,86000,30000
2002-01-01,2002,Alabama,64000,55000,38000,72000,30000
2002-02-01,2002,Alabama,69000,56000,39000,70000,26000
2002-03-01,2002,Alabama,62000,58000,36000,71000,29000
2002-04-01,2002,Alabama,69000,55000,40000,75000,29000
2002-05-01,2002,Alabama,68000,51000,36000,74000,33000
2002-06-01,2002,Alabama,73000,56000,36000,71000,30000
2002-07-01,2002,Alabama,67000,52000,37000,73000,31000
2002-08-01,2002,Alabama,70000,54000,40000,70000,23000
2002-09-01,2002,Alabama,67000,47000,37000,69000,28000
2002-10-01,2002,Alabama,70000,48000,32000,66000,28000
2002-11-01,2002,Alabama,71000,46000,35000,64000,23000
2002-12-01,2002,Alabama,70000,43000,37000,72000,28000
2003-01-01,2003,Alabama,90000,53000,38000,83000,40000
2003-02-01,2003,Alabama,73000,45000,42000,78000,31000
2003-03-01,2003,Alabama,70000,38000,43000,78000,29000
2003-04-01,2003,Alabama,69000,42000,35000,75000,31000
2003-05-01,2003,Alabama,80000,44000,37000,71000,29000
2003-06-01,2003,Alabama,73000,46000,36000,69000,30000
2003-07-01,2003,Alabama,76000,46000,34000,70000,32000
2003-08-01,2003,Alabama,62000,46000,33000,83000,47000
2003-09-01,2003,Alabama,78000,42000,42000,82000,33000
2003-10-01,2003,Alabama,71000,50000,34000,71000,29000
2003-11-01,2003,Alabama,74000,51000,39000,76000,28000
2003-12-01,2003,Alabama,79000,48000,42000,79000,31000
2004-01-01,2004,Alabama,83000,58000,37000,77000,32000
2004-02-01,2004,Alabama,78000,51000,42000,77000,29000
2004-03-01,2004,Alabama,78000,53000,45000,87000,28000
2004-04-01,2004,Alabama,79000,55000,41000,67000,23000
2004-05-01,2004,Alabama,74000,57000,39000,69000,24000
2004-06-01,2004,Alabama,74000,55000,42000,82000,34000
2004-07-01,2004,Alabama,82000,57000,48000,79000,26000
2004-08-01,2004,Alabama,78000,58000,46000,81000,30000
2004-09-01,2004,Alabama,80000,63000,43000,74000,23000
2004-10-01,2004,Alabama,75000,62000,47000,77000,27000
2004-11-01,2004,Alabama,82000,55000,46000,81000,31000
2004-12-01,2004,Alabama,109000,65000,41000,73000,28000
2005-01-01,2005,Alabama,78000,57000,45000,76000,28000
2005-02-01,2005,Alabama,86000,76000,43000,73000,26000
2005-03-01,2005,Alabama,93000,68000,42000,79000,33000
2005-04-01,2005,Alabama,84000,63000,43000,78000,31000
2005-05-01,2005,Alabama,81000,51000,46000,83000,32000
2005-06-01,2005,Alabama,87000,61000,56000,98000,35000
2005-07-01,2005,Alabama,86000,69000,46000,85000,32000
2005-08-01,2005,Alabama,92000,63000,49000,77000,23000
2005-09-01,2005,Alabama,86000,67000,49000,83000,30000
2005-10-01,2005,Alabama,92000,62000,53000,86000,29000
2005-11-01,2005,Alabama,78000,61000,39000,67000,24000
2005-12-01,2005,Alabama,77000,67000,43000,77000,29000
2006-01-01,2006,Alabama,80000,61000,45000,71000,22000
2006-02-01,2006,Alabama,82000,61000,45000,78000,27000
2006-03-01,2006,Alabama,82000,73000,46000,78000,28000
2006-04-01,2006,Alabama,80000,73000,45000,75000,22000
2006-05-01,2006,Alabama,84000,66000,50000,87000,28000
2006-06-01,2006,Alabama,94000,75000,54000,84000,24000
2006-07-01,2006,Alabama,81000,69000,52000,83000,25000
2006-08-01,2006,Alabama,87000,72000,52000,97000,40000
2006-09-01,2006,Alabama,83000,73000,53000,85000,27000
2006-10-01,2006,Alabama,97000,78000,48000,76000,23000
2006-11-01,2006,Alabama,86000,74000,53000,83000,27000
2006-12-01,2006,Alabama,85000,65000,60000,92000,27000
2007-01-01,2007,Alabama,101000,75000,50000,83000,26000
2007-02-01,2007,Alabama,80000,76000,53000,83000,26000
2007-03-01,2007,Alabama,80000,69000,50000,84000,29000
2007-04-01,2007,Alabama,92000,74000,62000,101000,35000
2007-05-01,2007,Alabama,90000,71000,50000,85000,31000
2007-06-01,2007,Alabama,82000,65000,46000,73000,22000
2007-07-01,2007,Alabama,86000,67000,50000,88000,33000
2007-08-01,2007,Alabama,74000,64000,47000,79000,28000
2007-09-01,2007,Alabama,90000,67000,40000,73000,30000
2007-10-01,2007,Alabama,81000,67000,45000,75000,26000
2007-11-01,2007,Alabama,80000,66000,37000,68000,27000
2007-12-01,2007,Alabama,81000,62000,46000,73000,23000
2008-01-01,2008,Alabama,80000,64000,47000,74000,24000
2008-02-01,2008,Alabama,73000,56000,47000,77000,26000
2008-03-01,2008,Alabama,77000,58000,44000,69000,21000
2008-04-01,2008,Alabama,70000,55000,46000,77000,27000
2008-05-01,2008,Alabama,64000,53000,39000,68000,25000
2008-06-01,2008,Alabama,72000,58000,38000,67000,25000
2008-07-01,2008,Alabama,62000,50000,37000,63000,23000
2008-08-01,2008,Alabama,60000,52000,36000,72000,29000
2008-09-01,2008,Alabama,61000,47000,34000,69000,29000
2008-10-01,2008,Alabama,56000,59000,35000,77000,35000
2008-11-01,2008,Alabama,55000,47000,33000,75000,36000
2008-12-01,2008,Alabama,58000,42000,31000,88000,53000
2009-01-01,2009,Alabama,62000,37000,26000,74000,43000
2009-02-01,2009,Alabama,55000,45000,25000,67000,38000
2009-03-01,2009,Alabama,56000,37000,25000,59000,30000
2009-04-01,2009,Alabama,49000,32000,23000,54000,28000
2009-05-01,2009,Alabama,49000,36000,23000,57000,30000
2009-06-01,2009,Alabama,51000,34000,25000,69000,39000
2009-07-01,2009,Alabama,55000,33000,28000,59000,28000
2009-08-01,2009,Alabama,53000,35000,24000,54000,26000
2009-09-01,2009,Alabama,53000,33000,23000,62000,34000
2009-10-01,2009,Alabama,52000,33000,25000,55000,28000
2009-11-01,2009,Alabama,65000,40000,24000,60000,31000
2009-12-01,2009,Alabama,54000,37000,24000,51000,21000
2010-01-01,2010,Alabama,49000,43000,25000,53000,22000
2010-02-01,2010,Alabama,53000,33000,27000,57000,25000
2010-03-01,2010,Alabama,66000,39000,26000,59000,28000
2010-04-01,2010,Alabama,56000,46000,26000,57000,25000
2010-05-01,2010,Alabama,61000,45000,28000,58000,25000
2010-06-01,2010,Alabama,55000,41000,31000,64000,29000
2010-07-01,2010,Alabama,56000,48000,28000,60000,28000
2010-08-01,2010,Alabama,61000,45000,31000,64000,28000
2010-09-01,2010,Alabama,55000,44000,29000,58000,24000
2010-10-01,2010,Alabama,68000,51000,29000,60000,26000
2010-11-01,2010,Alabama,68000,45000,28000,58000,24000
2010-12-01,2010,Alabama,66000,46000,32000,62000,24000
2011-01-01,2011,Alabama,58000,45000,22000,54000,29000
2011-02-01,2011,Alabama,65000,44000,29000,59000,26000
2011-03-01,2011,Alabama,63000,43000,28000,59000,25000
2011-04-01,2011,Alabama,64000,44000,30000,61000,26000
2011-05-01,2011,Alabama,72000,47000,38000,66000,24000
2011-06-01,2011,Alabama,68000,50000,28000,60000,27000
2011-07-01,2011,Alabama,70000,69000,30000,59000,25000
2011-08-01,2011,Alabama,68000,55000,30000,61000,25000
2011-09-01,2011,Alabama,66000,70000,30000,60000,25000
2011-10-01,2011,Alabama,66000,56000,32000,64000,26000
2011-11-01,2011,Alabama,72000,57000,33000,69000,31000
2011-12-01,2011,Alabama,67000,66000,39000,76000,33000
2012-01-01,2012,Alabama,72000,66000,35000,69000,30000
2012-02-01,2012,Alabama,80000,68000,36000,74000,32000
2012-03-01,2012,Alabama,71000,82000,36000,67000,25000
2012-04-01,2012,Alabama,73000,61000,32000,70000,34000
2012-05-01,2012,Alabama,71000,62000,32000,77000,40000
2012-06-01,2012,Alabama,66000,61000,33000,63000,24000
2012-07-01,2012,Alabama,66000,56000,31000,57000,21000
2012-08-01,2012,Alabama,68000,52000,30000,63000,29000
2012-09-01,2012,Alabama,69000,65000,35000,68000,29000
2012-10-01,2012,Alabama,64000,50000,29000,60000,26000
2012-11-01,2012,Alabama,64000,50000,30000,57000,22000
2012-12-01,2012,Alabama,61000,51000,27000,55000,24000
2013-01-01,2013,Alabama,64000,54000,29000,59000,24000
2013-02-01,2013,Alabama,83000,54000,35000,60000,20000
2013-03-01,2013,Alabama,58000,59000,31000,61000,25000
2013-04-01,2013,Alabama,66000,56000,34000,64000,26000
2013-05-01,2013,Alabama,68000,54000,31000,66000,29000
2013-06-01,2013,Alabama,68000,54000,30000,63000,27000
2013-07-01,2013,Alabama,60000,49000,35000,69000,29000
2013-08-01,2013,Alabama,62000,49000,31000,64000,26000
2013-09-01,2013,Alabama,65000,47000,30000,64000,29000
2013-10-01,2013,Alabama,58000,51000,29000,64000,31000
2013-11-01,2013,Alabama,62000,52000,32000,57000,21000
2013-12-01,2013,Alabama,66000,50000,30000,59000,25000
2014-01-01,2014,Alabama,61000,49000,30000,59000,24000
2014-02-01,2014,Alabama,54000,51000,31000,57000,21000
2014-03-01,2014,Alabama,61000,51000,30000,57000,21000
2014-04-01,2014,Alabama,60000,54000,31000,57000,21000
2014-05-01,2014,Alabama,61000,58000,36000,59000,18000
2014-06-01,2014,Alabama,61000,61000,29000,55000,21000
2014-07-01,2014,Alabama,68000,59000,33000,56000,18000
2014-08-01,2014,Alabama,65000,72000,31000,60000,24000
2014-09-01,2014,Alabama,67000,64000,37000,63000,21000
2014-10-01,2014,Alabama,82000,69000,43000,71000,24000
2014-11-01,2014,Alabama,67000,60000,39000,67000,22000
2014-12-01,2014,Alabama,82000,66000,37000,70000,23000
2015-01-01,2015,Alabama,69000,68000,38000,69000,25000
2015-02-01,2015,Alabama,69000,62000,37000,66000,24000
